SKU,FIRST_MINIMUM_PRICE,SECOND_MINIMUM_PRICE
11331,329,ONLY SINGLE PRICE IS THERE
11332,175,ONLY SINGLE PRICE IS THERE
11333,304,359.99
11334,329,339
11335,304,315
11336,334,364.99
11337,334,364.99
11338,156,278
11339,266,278
11340,395,420
11341,420,455
11342,349,499
11343,228,289.99
11344,95,115
11345,626,699.99
11346,499.97,750
11347,158,1022
11348,255,325.55
11349,239,249
11350,225,232.89
11351,449.98,456.89
11352,320,411
11353,349.95,375
11354,325,390
11355,390,399.99
11356,250,259.99
11357,383,385
11358,450,475
11359,119,127
11360,139,140
11361,79.99,127
11362,132,165
11363,96.95,129.94
11364,120,139
11365,149,159.99
11366,161,169
11367,175,186.84
11368,225,280.97
11369,435,450
11370,509,525
11371,873,875
11372,899,1050
11373,398,479
11374,59,65
11376,295,304
11377,185,199
11378,180,215
11379,119.99,162
11380,158,200
11381,120,125
11382,210,217
11383,267.99,269.99
11384,150,218
11385,259.99,265
11386,125,269.98
11388,260,297
11389,316,354
11390,189,194.99
11391,189,194.99
11392,199,239
11393,159,179.95
11394,165,169
11395,285,311
11397,171,219.99
11398,460,465
11399,189.98,190
11400,215,225
11401,108.95,109
11402,162,175
11403,209,215.99
11404,130,155
11405,224.99,228.84
11406,225,228
11407,114.98,119
11408,163.89,245
11409,219,228
11410,206,209
11411,129,129.98
11412,135,140
11413,167,195
11414,45,69
11415,234,245
11416,74.95,144
11417,159.99,164.99
11418,585,599.99
11419,819,825
11420,407,425
11421,300,325
11422,215,219
11423,188,221
11424,177,179
11425,195,197
11426,159,219
11427,375,380
11428,129.94,133
11429,200,210
11430,239,240
11431,179,235
11432,199,245
11433,278,284
11434,189,202
11435,399.99,506.75
11436,621,625
11437,399.98,400
11438,495,499
11439,504,529.99
11440,399,895
11441,695,810
11442,514.99,750
11444,550,750
11445,550,750
11446,799,889
11448,898,1333.33
11449,725,750
11451,845,846
11452,835,863
11453,425,435
11454,899,899.99
11455,895.99,899
11456,599,633
11458,392,899.99
11459,75,83
11460,219,449
11461,459,495
11462,495,499.98
11463,499.98,557
11464,535,560
11465,749,789
11466,724.99,795
11467,475,495
11468,480,495
11469,549.99,550
11470,549,575
11471,549,869
11472,300,348
11473,149.94,149.99
11476,175,181
11477,152,159.98
11478,133,140
11479,389,400
11480,459,481
11481,327.97,345
11482,139,144.95
11483,139,144.95
11484,170,195
11485,170,195
11486,300,309
11487,299,309
11488,175,179
11489,179.99,188
11491,248.99,275
11492,123.95,198.98
11493,230,319
11494,325,350
11495,139,170
11496,185,195
11497,139.97,230
11498,109.95,134
11499,158,159
11500,245,255
11501,137,175
11502,139,164
11503,124.95,135
11505,175,179
11506,135,139
11507,177,185
11508,235,299.99
11509,450,475
11510,315,493
11511,390,495
11512,699,716
11513,495,499
11514,485,495
11515,395,475.89
11516,450,500
11517,848,875
11518,675,789.99
11519,200,280
11520,325,369.65
11522,147,159
11523,190,195
11524,209.99,225
11525,162,169.99
11526,288,299
11527,234.95,241
11528,1099,1199
11529,425,500
11530,449,545
11531,419.99,479
11532,495,499
11533,449,450
11534,525,545
11535,685,695
11536,685,695
11537,575,579
11539,499,538.89
11540,250,259
11541,340,349
11542,225,234
11543,199.99,248
11544,139,159
11545,175,184
11546,127,160
11547,205,209
11548,170,177.98
11549,170,177.98
11550,206,218
11551,250,275
11552,475,479
11553,244.95,260
11554,180,215
11555,269,324
11556,390,395
11557,385,399
11559,139,145
11560,152,160
11561,10,31
11562,449.99,450
11563,950,1035
11564,3200,3400
11565,133.13,135
11566,139,162
11567,119,132
11568,99,177
11570,224.95,224.98
11571,190,195
11572,73,88
11573,73,88
11574,224.95,228
11575,142,151
11576,150,152
11577,129,162
11578,120,129
11579,114.95,129
11580,152,155
11581,74.98,137
11582,105,149.99
11583,209,213
11584,129.99,209
11585,75,81.95
11586,139,145
11587,129,130
11588,236,249
11589,155,158
11590,165,167.99
11592,158,163
11593,199,210
11594,325,329
11595,99,184.94
11596,194.94,196
11597,202,215
11598,169,175
11599,145,179
11600,240,247
11601,182,219.65
11602,219.65,255
11603,135,247
11604,300,325
11605,430,455
11606,158,191
11607,239,329.99
11608,333.33,489.99
11609,455,473.99
11610,470,475
11611,152,531
11612,145,274.97
11613,149.99,166
11614,109,180
11615,259.99,274.94
11616,275,276
11617,127,275
11618,299.95,316
11619,221,329.99
11620,145,152
11621,215,229
11622,485,499
11624,500,525
11625,674.99,699.97